,Country,Date,Seat_count
149,UAE,Jul-20," 7,752 "
150,UAE,Aug-20," 9,185 "
151,UAE,Sep-20," 8,332 "
152,UAE,Oct-20," 8,716 "
153,UAE,Nov-20," 8,895 "
154,UAE,Dec-20," 10,301 "
155,UAE,Jan-21," 10,639 "
156,United Kingdom,Feb-20," 74,926 "
157,United Kingdom,Mar-20," 62,971 "
158,United Kingdom,Apr-20," 9,953 "
159,United Kingdom,May-20," 12,689 "
160,United Kingdom,Jun-20," 9,738 "
161,United Kingdom,Jul-20," 22,294 "
162,United Kingdom,Aug-20," 37,451 "
163,United Kingdom,Sep-20," 34,404 "
164,United Kingdom,Oct-20," 29,965 "
165,United Kingdom,Nov-20," 14,364 "
166,United Kingdom,Dec-20," 18,569 "
167,United Kingdom,Jan-21," 13,070 "
168,USA,Feb-20," 723,435 "
169,USA,Mar-20," 798,371 "
170,USA,Apr-20," 375,198 "
171,USA,May-20," 226,444 "
172,USA,Jun-20," 275,135 "
173,USA,Jul-20," 419,420 "
174,USA,Aug-20," 447,452 "
175,USA,Sep-20," 392,283 "
176,USA,Oct-20," 424,139 "
177,USA,Nov-20," 440,600 "
178,USA,Dec-20," 456,798 "
179,USA,Jan-21," 437,991 "
